hHEP,hHSC,hLSEC
A0A024R0T9;K7ER74;P02655;Q6P163,A0A024R3W6;A0A024R412;O60462;O60462-2;O60462-3;O60462-4;O60462-5;Q7LBX6;X5D2Q8,A0A024R216;Q9Y3E1
A0A024R3W6;A0A024R412;O60462;O60462-2;O60462-3;O60462-4;O60462-5;Q7LBX6;X5D2Q8,A0A075B780;O14787,A0A024RAC6;Q14241
A0A024R4E5,A0A087WSW9;A0A087WSY9;Q16881;Q16881-3;Q16881-4,A0A075B738
A0A024R4K9;A0A087WZA9;A0A087X266;Q9BXJ8;Q9BXJ8-2,A0A087WUF6;A0A0A0MQV6;P09038;P09038-1;P09038-2;P09038-3,A0A087WT20;Q9NV06
A0A024R4M0;P46781,A0A087WXM6;A0A0A6YYL6;J3KRX5;J3QQT2;P18621;P18621-3,A0A087WTW0;A0A087WVR3;Q96T88;Q96T88-2
A0A024R571;Q9H4M9,A0A087WXV2;O14917,A0A087WUK2;O14979;O14979-2;O14979-3
A0A024R5I4;E9PRW4;O94956;O94956-3,A0A087WXW9,A0A087WVP1;Q14517
A0A024R644;A0A0A0MRU5;A0A1B0GWI2;O75503,A0A087WY00;F8W6H6;F8WE88;G3V394;Q9Y4I1;Q9Y4I1-2;Q9Y4I1-3,A0A087X1R1;P53814;P53814-5;P53814-6
A0A024R6I7,A0A087WY71;E9PFW3;Q96CW1;Q96CW1-2,A0A0A0MQS9;A0A0A0MTC7;Q16363;Q16363-2
A0A024R6X1;O00748,A0A087WZ62;Q9H6U8;Q9H6U8-3,A0A0A0MQX1;Q9HD67
A0A067XG54;Q8NB49;Q8NB49-2;Q8NB49-3;Q8NB49-4,A0A087X0K9,A0A0A0MSD0;Q4LDE5
A0A075B6P0;Q330K2;Q330K2-2,A0A087X1B1;Q9Y6K9;Q9Y6K9-2,A0A0G2JQN8;A0A0G2JRX5;A0A0G2JRY6;A0A1W2PRV5;E7EQZ4;Q16637;Q16637-2;Q16637-3;Q16637-4
A0A075B730;A0A087X1U6,A0A087X1R1;P53814;P53814-5;P53814-6,A0A1B0GV70;Q96N21;Q96N21-2
A0A075B773;K7ELY8;O00623,A0A087X232;P09871,A4D1E9;C9J8R7
A0A075B7A1;M0R0E9;M0R344;Q9NRA0;Q9NRA0-2;Q9NRA0-3;Q9NRA0-4;Q9NRA0-5,A0A0A0MQU3;P62837,A6NIW2;Q5JSL3
A0A087WSV8;V9HW75,A0A0A0MR60;G8JL96;Q13332-2;Q13332-6;Q13332-7,A8MZI9;C9JWM1;H9KVB1;Q01196;Q01196-10;Q01196-2;Q01196-3;Q01196-4;Q01196-5;Q01196-6;Q01196-7;Q01196-8;Q01196-9
A0A087WSW9;A0A087WSY9;Q16881;Q16881-3;Q16881-4,A0A0A0MRJ7;P12259,A9J4F5;O00488
A0A087WT12;A0A087X2I2;K7ERP4;P36969;P36969-2,A0A0A0MRV0;Q9P2E9,B0QY89;Q9Y262
A0A087WT53;Q96QZ7;Q96QZ7-2;Q96QZ7-6;Q96QZ7-7,A0A0A0MS29,B1AP13;H3BLV0;H7BY55;P08174;P08174-2;P08174-3;P08174-4;P08174-5;P08174-6;P08174-7
A0A087WT99;Q9H0W9;Q9H0W9-2,A0A0A0MTQ8;P0C221,B4DJL6;B4DVT3;Q96SY0;Q96SY0-3;Q96SY0-4
A0A087WTK0;A0A087WVC6;Q12913,A0A0B4J203,B4DY26;P36897;P36897-2
A0A087WTM1;Q9Y6N7;Q9Y6N7-2;Q9Y6N7-3;Q9Y6N7-4;Q9Y6N7-5;Q9Y6N7-6,A0A0C4DFL7;Q16850,B7WPE2;Q32P44
A0A087WTP3;Q92945,A0A0C4DG78;Q8TBC5;Q8TBC5-2;Q8TBC5-3;Q8TBC5-4,B7ZC06
A0A087WTS0;P18283,A0A0C4DGH0;Q5ZPR3;Q5ZPR3-4,B9EGQ5;M0QXA7;O95785;O95785-3;O95785-4
A0A087WUB9;Q8WYA6;Q8WYA6-4,A0A0C4DGV9;P49917,C9J7Y4;Q8WWK9;Q8WWK9-4;Q8WWK9-5;Q8WWK9-6
A0A087WUC6;E9PI68;Q15005,A0A0C4DGW0;B4DGY6;H7C5F7;Q9NV92,C9JBI3;P78330
A0A087WUL4;A0A087WX23;A0A087WXK2;A0A087WZG9;B4DSP0;Q86TG7;Q86TG7-2,A0A0C4DGZ4;Q9Y5U4,D6RAD4;P50613
A0A087WUM0;A0A087WYV9;A0A087X1F5,A0A0C4DH16;B8ZZS0;H7BXT7;Q9NYM9,D6REY2;P23508;P23508-2
A0A087WUQ6;P07203,A0A0D9SEN1;Q12884,E7EPG1;Q13201
A0A087WUS0;E7ETK0;P62847;P62847-2;P62847-3;P62847-4,A0A0D9SEZ6;A0A0D9SG71;A0A0R4J2E5;P49459,E7ERS3;Q86VM9;Q86VM9-2
A0A087WV45;P02766,A0A0D9SF53;A0A0D9SFB3;A0A0D9SG12;O00571,E7EVC7;Q676U5;Q676U5-2
A0A087WVD4;Q9HBK9;Q9HBK9-2,A0A0D9SFB5;P08319;P08319-2,E9PFP8;P57721;P57721-4;P57721-5
A0A087WVP7;H3BRQ8;P0C024;P0C024-2;P0C024-3,A0A0G2JH68;O60610,E9PGC8;P78559
A0A087WVV7;A0A087X165;Q9C0H9;Q9C0H9-2;Q9C0H9-5,A0A0G2JNZ2;A0A0G2JPP5;Q14160;Q14160-3,E9PGF5
A0A087WVX4;P49895;P49895-2;P49895-4,A0A0G2JPR0,E9PJM4;E9PL17;Q92989;Q92989-2
A0A087WWM4;F8WAN9;H0YLV5;H0YMB3;H0YNJ6;Q9P2T1;Q9P2T1-2,A0A140T913;A0A140T9I0;A0A140T9X5;P01892,E9PMG4;Q9BUR4
A0A087WWQ2;Q92979;V9GYP5,A0A140T9D4;A0A140TA21,F5H136
A0A087WWU8,A0A140T9M0;P04222,G3V529;Q9GZR7
A0A087WXB8;C9IZL6;Q9Y274,A0A1B0GTM3;A0A1B0GUA4;A0A1B0GUH5;A0A1B0GW68;Q13510;Q13510-2,G8JLD5
A0A087WXC5;E7ESZ7;O95299,A0A1B0GVD5;A0A1B0GW44;A0A1B0GWE8;P07339,H0UI80;Q8IXH7;Q8IXH7-4;X6RLT1
A0A087WXD1;Q96T83,A0A1B0GVF1,H3BLV9;Q96SB4;Q96SB4-3;Q96SB4-4
A0A087WXK5;J3QSS3;Q9BZC7;Q9BZC7-2;Q9BZC7-3,A0A1B0GVK0;Q14314,I3L0A0
A0A087WXP3;E9PEE8;P18564;P18564-2,A0A1W2PR09;A0A1W2PRL5;A0A1W2PRM0;F5GYH1;Q8NC96,J3KP15;Q01130
A0A087WXU0;Q9NWS8,A0A286YF22;O43175,K7EIU8;Q13485
A0A087WXV4;P41235;P41235-2;P41235-4;P41235-5;P41235-6,A0AVT1,K7EIY6;Q9BV68;Q9BV68-2
A0A087WXX8,A2A2D0;P16949;P16949-2,M0QZ28;Q9Y4J8;Q9Y4J8-10;Q9Y4J8-11;Q9Y4J8-13;Q9Y4J8-14;Q9Y4J8-15;Q9Y4J8-2;Q9Y4J8-6
A0A087WY71;E9PFW3;Q96CW1;Q96CW1-2,A2A2V1;P04156;P04156-2,O00267
A0A087WYT3;Q15185;Q15185-4,A4D104;C9J7I0,O00592;O00592-2
A0A087WZ13;E9PAU2;Q8IY67-2,A6NCE7;H3BTL1;Q9GZQ8,O15061
A0A087WZ62;Q9H6U8;Q9H6U8-3,A6NNI4;G8JLH6;P21926,O15213
A0A087WZT2;Q6UX53,A6XND0;A6XND1;B3KWK7;P17936;P17936-2,O15234
A0A087X020;Q9Y3A5,A8MUS3;H7BY10;K7EJV9;K7ERT8;P62750,O43149
A0A087X0D5;P09668,A8MXV4,O43159
A0A087X0Q9;Q9BVL4,B0QY07;P32927;P32927-2;Q6NSJ8,O43929;O43929-2;O43929-3
A0A087X0V5;P29728;P29728-2,B0YIW2;P02656,O75153
A0A087X0W3;Q8WWB7,B1ALU1;B1ALU3;H0Y5C0;O95490;O95490-2;O95490-5;O95490-6;O95490-7,O75607
A0A087X0W7,B1AP22;P49810;P49810-3,O75694;O75694-2
A0A087X117;A0A0G2JN29;Q15155,B2R5W2;B4DY08;G3V4W0,O75940
A0A087X1G7;A0A0B4J1S4;O60613,B4DDF4;B4DUT8;Q99439,O75962
A0A087X1R1;P53814;P53814-5;P53814-6,B4DGU4;P35222,O94776
A0A087X1W8;A0A0A0MTJ8;Q9BY67;Q9BY67-3;Q9BY67-4;Q9BY67-5;X5DQS5,B4DSZ9;E9PCE7;E9PMP8;E9PMS7;P53804;P53804-2;P53804-3,O95218;O95218-2
A0A087X1Z3;Q9UL46,B4DUC8;Q13126,O95760;O95760-2;O95760-3;O95760-4
A0A087X232;P09871,B4DUD2;C9IYT2;C9IZ27;C9JEN3;C9JW19;C9JWV9;F8WDY4;Q969X1,P00491
A0A087X2H1;Q9ULT8,B4DY26;P36897;P36897-2,P00966
A0A087X2I1;P62333,B5MC14;B5MCZ3;C9J5B0;P05231,P01137
A0A096LPE2,B5MDF5;P62826,P01584
A0A096LPI6,B5ME97;E7EW69;E7EX04;Q9P0V9;Q9P0V9-2,P03989
A0A096LPJ9;E7EWH7;E9PHE4;P02489,B7Z4L1;B7Z4U3;E7EPD9;H7BXS2;Q9NRC1;Q9NRC1-4,P04150;P04150-10;P04150-2;P04150-3;P04150-6;P04150-8;P04150-9
A0A0A0MQR7;P19388,B7Z596;F5H7S3,P04275
A0A0A0MQU3;P62837,B7Z676;D6RGJ7;E9PE63;Q86UD5;Q86UD5-2,P05106
A0A0A0MQU4;Q96I15,B7ZKJ3;B7ZKW7;F8VP57;F8W9W0;P54756;P54756-2;P54756-3,P05412
A0A0A0MQX2;Q9HD23;Q9HD23-2;Q9HD23-4,B8ZZD4;Q86VP1;Q86VP1-2,P05783
A0A0A0MQX8;C9JP00;H7C4T5;Q9NR56;Q9NR56-2;Q9NR56-3;Q9NR56-4;Q9NR56-5;Q9NR56-6;Q9NR56-7,C4B7M2;Q96JI7;Q96JI7-2;Q96JI7-3,P07996
A0A0A0MR49,C9J477;C9J579;C9JA22;C9JCY2;F8WDG2;Q6PIY5;Q6PIY5-2,P08473
A0A0A0MRA5;B7Z4B8;Q9BUJ2;Q9BUJ2-2;Q9BUJ2-4,C9J4Z3;P61513,P08603
A0A0A0MRB0;E9PBZ0;P49789,C9J6Q8;J9JIC8;Q9Y2Y6,P08727
A0A0A0MRV0;Q9P2E9,C9J798;E7ERK1;F5GXT2;F8W6L0;H0YB35;O43374;O43374-2,P09601
A0A0A0MRW7;C9JZ40;F8W6G5;Q7Z2E3;Q7Z2E3-10;Q7Z2E3-11;Q7Z2E3-3;Q7Z2E3-5;Q7Z2E3-7;Q7Z2E3-8;Q7Z2E3-9,C9J813,P09619
A0A0A0MRZ4;E7EMV7;Q15025;Q15025-2;Q15025-3;Q15025-4;Q15025-5;Q15025-6;Q15025-7;Q15025-8,C9JA08;Q96D46,P09972
A0A0A0MS08;P01857,C9JG41;Q9NQX7;Q9NQX7-2;Q9NQX7-3,P11166
A0A0A0MS29,C9JIZ6;P07602;P07602-2;P07602-3,P11169
A0A0A0MS41;A0A1P0AYU5;Q9BWM7,C9JKA9;Q9NS87;Q9NS87-2;Q9NS87-3,P11216
A0A0A0MS54;P22694;P22694-2;P22694-3;P22694-4;P22694-5;P22694-6;P22694-7;P22694-9,C9JQD4;O43447,P11388;P11388-2;P11388-3;P11388-4
A0A0A0MS56;P28332;P28332-2,C9JWJ8;Q14938-3;Q14938-5,P13995
A0A0A0MS70;A0A0A0MST0;H0Y4G9;Q99836;Q99836-5;Q99836-6,C9JYQ9;H0Y8C2;Q6P5R6,P14778
A0A0A0MS74,C9K0I9,P16083;Q5TD07
A0A0A0MSE2;E9PF18;Q16836;Q16836-2;Q16836-3,D3DQV9;P78344,P17275
A0A0A0MSG2;J3KNW4;Q14192,D6RAR4;Q04756,P17405;P17405-4
A0A0A0MSK2;P0DJ07,D6RER5;D6RGI3;Q9NVA2,P18206;P18206-2
A0A0A0MSS8;P42330,D6RFG8;P27707,P18583;P18583-5;P18583-7;P18583-9
A0A0A0MSU4;O94911;O94911-3,E5RG44;E5RGJ1;E5RIT1;Q629K1,P19021-5
A0A0A0MT61;G5E979;H7BYM2;Q8WYN0;Q8WYN0-3;Q8WYN0-5,E5RH28;P55808;P55808-2;P55808-3,P22692;P22692-2
A0A0A0MT83;P26440,E5RIZ4;Q9P015,P23246
A0A0A0MTG1;A0A0G2JIA5;A0A0G2JL52;A0A140T8Y0;A0A140TA35;A0A140TA36;A0A140TA40;A0A140TA45;B4E0K6;B7ZL25;Q5ST30;Q5ST30-4,E7EMS2;G3V3D1;G3V3E8;J3KMY5;P61916,P23510
A0A0A0MTI5;B8ZWD1;P07108;P07108-2;P07108-3;P07108-4;P07108-5,E7ENY0;E7EV99;P35611;P35611-2;P35611-3;P35611-6,P26022
A0A0A0MTJ9;A0A0R4J2G3;Q6PIU2;Q6PIU2-2,E7EPG1;Q13201,P26358;P26358-2
A0A0A0MTN0;Q13617;Q13617-2,E7EQ69;Q9GZZ1,P30481
A0A0A0MTS2;P06744,E7EQT4;Q9UKV3;S4R3H4,P31327;P31327-3
A0A0A6YYA0;Q86XR7-2;Q9Y3B3;Q9Y3B3-2,E7EQU1;E7ES08;E9PES6;O15347,P35442
A0A0A6YYC0;E9PJN1;O75676;O75676-2,E7ESK6;E9PBI9;P34741,P35568
A0A0B4J1R2;Q9H6R3,E7ESP4,P35813;P35813-3
A0A0B4J1R4;P32754,E7EX44;Q05682-3,P40189
A0A0B4J1Z1;C9JAB2;Q16629;Q16629-2;Q16629-3;Q16629-4,E9PAV3;E9PAV3-2;F8VZJ2;H0YHX9;Q13765,P40222
A0A0B4J203,E9PBW4;P02100;P69891;P69892,P40306
A0A0B4J206;O60337;O60337-5;O60337-6,E9PC15;Q53H12,P41250
A0A0B4J294;H3BP13;Q9UL33;Q9UL33-2,E9PGC0;P20936;P20936-2;P20936-4,P48307;P48307-2
A0A0B4J2A0;Q9UHJ6,E9PGC8;P78559,P48681
A0A0C4DFL7;Q16850,E9PGI0;Q6UWY0,P48740-2;P48740-4
A0A0C4DFM0;G3V4T6,E9PHA2;Q15003,P49643
A0A0C4DFN1;Q8IWA4,E9PIK4;E9PIN5;E9PKN9;E9PKZ4;E9PMW4;E9PN66;E9PPM1;E9PQ46;E9PS55;O14683;U3KQ32,P49959;P49959-3
A0A0C4DFN2;Q14397,E9PKT4;Q8N131;Q8N131-2,P51116
A0A0C4DFT3;Q12959-2;Q12959-4,E9PMR4;P48509,P52209;P52209-2
A0A0C4DFU2;P04179,E9PMS6,P52701
A0A0C4DFX9;Q9H3P2,E9PNN3;Q03393,P52732
A0A0C4DG17;C9J9K3;P08865,E9PP16;Q8ND30;Q8ND30-2;Q8ND30-3,P53999
A0A0C4DG33;O43933,F5GXJ1;F5H5N1;O75251;O75251-2,P58335-4
A0A0C4DG49,F5GY80;F5H7G1;P07358,P61313
A0A0C4DGA2;O75521;O75521-2,F5GYQ1;P61421,P62266
A0A0C4DGJ8;Q6IPR1,F5GZS6;J3KPF3;P08195;P08195-2;P08195-3;P08195-4,P63220;Q8WVC2
A0A0C4DGQ6;Q96P16,F5H2A4;F5H2U8;F5H6H0;P52926;P52926-2;P52926-3;P52926-4;P52926-5;P52926-6,P82094;P82094-2
A0A0C4DGS0;P56556,F6QDS0;I3L0H8;Q9NUU7,P98172
A0A0C4DGS1;P39656,F6RY50;Q96FS4,Q00534
A0A0D9SEI0;Q9P0P8,F6SKB8;Q9NVZ3;Q9NVZ3-2;Q9NVZ3-3,Q01469
A0A0D9SF70;G5E9L0;Q8N6H7,F6XHT0;F8WAX7;Q9Y6D0,Q02388;Q02388-2
A0A0D9SFB5;P08319;P08319-2,F8VX04;Q9H2H9,Q02952
A0A0D9SFK2;Q92614;Q92614-4,F8VZX2,Q04900-5
A0A0D9SFL2;M0QYH2;Q96T60,F8W7W8;Q30201;Q30201-2;Q30201-5;Q30201-8,Q08AD1;Q08AD1-2;Q08AD1-3
A0A0D9SG04;A0A0X1KG75;Q53SF7;Q53SF7-2;Q53SF7-3;Q53SF7-4,F8W8W7;J3KQ45;O43493;O43493-2;O43493-3;O43493-5,Q09161
A0A0D9SG72;P61764,G3V1N2,Q10589;Q10589-2
A0A0G2JH68;O60610,G3V1S7;M0QXH4;M0R2V0;Q92839,Q12834
A0A0G2JHC2;Q6NYC8,G3XAP6;P49747;P49747-2,Q13112
A0A0G2JIE7;A0A0G2JL69;B4DQI1;H0Y3H6;P06681;P06681-2;P06681-3,G5EA09;O00560-2,Q13243
A0A0G2JIF2;A0A0G2JL56;P30443;P30455,H0Y4R1;P12268,Q13435
A0A0G2JJD3;O95870,H0YA75;P19883;P19883-2,Q13501
A0A0G2JM12;N0E472;P67870;Q5SRQ3;Q5SRQ6,H0YBC7;O60238;O60238-2,Q13601;Q13601-2
A0A0G2JMG3,H0YD48;H0YE97;H0YEY8,Q13643
A0A0G2JNW7;Q9Y666,H0YD86,Q13772;Q13772-3;Q13772-4
A0A0G2JPR0,H0YET3;Q14207,Q14151
A0A0J9YW18;F6RP06;Q12983,H0YKD8;P46779;P46779-2;P46779-3,Q14692
A0A0J9YXN7;Q96Q06;Q96Q06-2,H0YLF3,Q15057
A0A0S2Z5D0;A0A1B0GTU6;A0A1B0GTV3;A0A1B0GU90;A0A1B0GUD2;A0A1B0GW73;H3BNF1;H3BUT1;H3BUV4;Q9NWW5;Q9NWW5-2,H0YNA7;Q8TCT8,Q15637-2;Q15637-6
A0A0U1RRB9;F2Z2V1;Q96C11;Q96C11-3,H3BLV9;Q96SB4;Q96SB4-3;Q96SB4-4,Q16763
A0A0U1RRK1;A0A286YF11;F6XEV2;Q9BPX6;Q9BPX6-2;Q9BPX6-3;S4R3D7;S4R3V1,H3BMN5;P22676,Q5EBL4
A0A0U1RRL5;P32519;P32519-2,H3BMY1;P17538;Q6GPI1,Q5JTJ3;Q5JTJ3-2;Q5JTJ3-3;X6R5Z6
A0A140T912,H3BPL5;Q96ES7,Q5T0N5;Q5T0N5-2;Q5T0N5-3;Q5T0N5-4;Q5T0N5-5;S4R347
A0A140T913;A0A140T9I0;A0A140T9X5;P01892,I3L1Q3;I3L2A9;I3L2T0;I3L3N8;I3L437;Q8TE02;Q8TE02-2;Q8TE02-3;Q8TE02-4,Q5VTL8
A0A140T9M0;P04222,I3L1Q6;J3QKT0;J3QSE5;P04180,Q5VTR2
A0A140TA33;A0A140TA41;A0A140TA52;P22105;P22105-3;P22105-4,I3NI29;Q9NRY6,Q6IBS0
A0A1B0GTJ7;A0A1B0GWJ0;P30566,J3KNC0;P52655,Q6UY14;Q6UY14-2;Q6UY14-3
A0A1B0GTL5,J3KNC3,Q712K3
A0A1B0GTM2;P48728,J3KNF4,Q7L0J3;Q7L0J3-2
A0A1B0GTM3;A0A1B0GUA4;A0A1B0GUH5;A0A1B0GW68;Q13510;Q13510-2,J3KQ66;P78509;P78509-2;P78509-3,Q7LBC6
A0A1B0GTW1;Q9UDY2;Q9UDY2-3;Q9UDY2-7,J3KQL8,Q7Z5K2;Q7Z5K2-2;Q7Z5K2-3
A0A1B0GU97;A0A1B0GW37,J3KR97;Q9BTW9,Q86UU1-2
A0A1B0GV47;Q7Z4S6;Q7Z4S6-2;Q7Z4S6-3;Q7Z4S6-4;Q7Z4S6-5;Q7Z4S6-6,J3KTA4;P17844,Q86VP6
A0A1B0GVC3;A0A1B0GWA9;Q96HU8,J3QRG6;P42771;P42771-4,Q86W92-2
A0A1B0GVD5;A0A1B0GW44;A0A1B0GWE8;P07339,J3QSU6;P24821;P24821-4,Q8IWB1
A0A1B0GVF1,J3QSV6;O76021,Q8IY37
A0A1B0GW23;Q03154,K7EK33;K7EQ02;K7EQ55;Q96EP5;Q96EP5-2,Q8IZH2;Q8IZH2-2
A0A1W2PNF0;A0A1W2PNY6;A0A1W2PPE6;A0A1W2PPG9;A0A1W2PPH4;A0A1W2PQ13;A0A1W2PQ60;A0A1W2PQD6;A0A1W2PQH2;A0A1W2PQL8;A0A1W2PR66;A0A1W2PRN3;A0A1W2PRT7;A0A1W2PS45;A0A1W2PS77;A0A1W2PSA9;A0A1W2PSD1;Q9Y2D2;Q9Y2D2-2;Q9Y2D2-3,K7ELL7,Q8N543
A0A1W2PNW1;P42226,K7ENT6,Q8N684;Q8N684-2;Q8N684-3
A0A1W2PPB7;E9PH70;H0Y8E4;Q9ULH0;Q9ULH0-2;Q9ULH0-4,K7ERG9;P00746,Q8N7H5;Q8N7H5-3
A0A1W2PPG1;A0A1W2PPG5;A0A1W2PPP5;A0A1W2PQM3;A0A1W2PS81;E7EQ34;I3NI02;O14653;O14653-2,K7ESN3;Q8N2G8;Q8N2G8-2;Q8N2G8-3,Q8NEU8;Q8NEU8-3
A0A1W2PPH1;P23368,M0QWZ7;Q9NP81,Q8TAA9;Q8TAA9-2
A0A1W2PPZ5;P23193,M0QYG8;M0R0C1;M0R1D2;O60234,Q8WWI5;Q8WWI5-2;Q8WWI5-3
A0A1W2PQ51;A0A1X7SBZ2;Q92841,M0QYM7,Q8WXD5
A0A1W2PQS6,M0QYZ2;M0R0N4;P53680,Q8WYQ5;Q8WYQ5-3
A0A1W2PQV2;H3BUH9;P23434,M0R117;Q02543,Q92598
A0A1W2PR06;P52569;P52569-3,O00291;O00291-3,Q969E4
A0A286YEX4;P08651;P08651-5;P08651-6,O00299,Q969M3;Q969M3-3
A0A286YF22;O43175,O00303,Q96BZ8
A0FGR8-2;H7BXI1,O00425,Q96CN9
A0PJX8,O00479,Q96CW5;Q96CW5-2
A1X283,O00505,Q96F63
A2A274;Q99798,O00560;O00560-3,Q96JB2
A2A2G4;Q9Y672,O00622,Q96MW5
A3KMH1;A3KMH1-3,O00625,Q96PK6
A4D1P6;A4D1P6-2;C9J1X0,O00629,Q96PZ0
A6NCN2;F5GYI5;O43790;P78385;P78386,O00763;O00763-3,Q96S44
A6NCS6,O00767,Q99584
A6NDB9,O14494,Q99661;Q99661-2
A6NEL0;P05114,O14498,Q9BQ39
A6NGP5;Q9H910;Q9H910-3,O14672,Q9BQE4
A6NGW1;O95070,O14744,Q9BQG0;Q9BQG0-2
A6NJD9;A8MVT4;A8MYK1;H7C2P7;Q16540,O14745,Q9BRS2
A6NK44;H7C348,O14763;O14763-2,Q9BSC4;Q9BSC4-2;Q9BSC4-4
A6NLN1;P26599;P26599-2;P26599-3,O14773,Q9BTC0
A6NLP5,O14776;O14776-2,Q9BTX1;Q9BTX1-2;Q9BTX1-5;Q9BTX1-6
A6NMH6;Q92599;Q92599-2;Q92599-4,O14786,Q9BW19
A6NNI4;G8JLH6;P21926,O14966,Q9BXJ1;Q9BXJ1-2
A6XGL2;C9JNR5;F8WCM5;P01308,O14980,Q9BYN0
A6ZKI3,O15061,Q9BZX2
A8K878;P55145,O15067,Q9H089
A8MU27;A8MUA9;P55854;P55854-2,O15116,Q9H4G4
A8MUH2;P18859;P18859-2,O15212,Q9H501
A8MUS3;H7BY10;K7EJV9;K7ERT8;P62750,O15231;O15231-4;O15231-7,Q9H6X2;Q9H6X2-5
A8MZH8;P53801,O15400;O15400-2,Q9HA47;Q9HA47-3;Q9HA47-4
